Designator,Mid X,Mid Y,Rotation,Layer
D1,5.0,-5.0,180.0,bottom
D10,36.714901,-66.741632,190.5,bottom
D11,80.592651,-74.873893,190.5,bottom
D12,178.656874,-5.283112,176.5,bottom
D13,140.355554,-9.370853,169.5,bottom
D14,178.656874,-24.283112,176.5,bottom
D15,140.355554,-28.370853,169.5,bottom
D16,183.537875,-43.139522,178.25,bottom
D17,145.045816,-46.502905,169.5,bottom
D18,145.555171,-69.156253,169.5,bottom
D2,45.779892,-7.96057,187.0,bottom
D3,83.457037,-14.655683,190.5,bottom
D4,5.0,-24.0,180.0,bottom
D5,45.779892,-26.96057,187.0,bottom
D6,83.457037,-33.655683,190.5,bottom
D7,2.625,-43.0,180.0,bottom
D8,41.013505,-45.15304,186.125,bottom
D9,78.766776,-51.787735,190.5,bottom
EC1,0.0,0.0,0.0,top
H1,-3.275,12.6,0.0,top
H2,97.6491,5.5,0.0,top
H3,198.5732,12.6,0.0,top
H4,17.6491,-64.5,0.0,top
H5,97.6491,-76.949,0.0,top
H6,177.6491,-64.5,0.0,top
MCU1,-0.4995,-56.7,90.0,top
XX1,97.6491,11.65,0.0,top
XX2,97.6491,-70.0,180.0,top
